noeea,name,x_icold,y_icold,score,x_prop,y_prop,x_val,y_val,area,cap_total,ic_city,country,lake_name,river_id,river_name,year_opp,year_dead,comments,valid,ic_continent,is_main,noeea_m,is_icold,alias,ic_year,ic_state,ic_high,ic_high_guessed,ic_length,ic_length_guessed,ic_vol,ic_purpose,ic_owner,ic_note,ic_particular,ic_international,ic_sealing,ic_foundation,ic_capacity,ic_area,ic_spill,ic_type_spill,ic_engineer,ic_contractor,ic_p_mw,ic_e_whpyear,ic_irrigation,ic_floodstock,ic_settlement,
"DAL0001","KRAHES 1","-32768","-32768","0","-32768","-32768","0","0","144","1100","Peqin","AL","","11539","","-32768","-32768","","","","t","","t","","1967","Peqin","23","f","330","f","228","I","M.Bujq","","U","","h","R","1100","144","90","L","ISPVU","NNB","","","","","",
"DAL0002","KRAHES 2","-32768","-32768","0","-32768","-32768","0","0","97","600","Tepelene","AL","","10240","","-32768","-32768","","","","t","","t","","1968","Tepelene","30","f","300","f","300","I","M.Bujq","","U","","h","S/R","600","97","5","L","ISPVU","NNB","","","","","",
"DAL0003","KRYEKUQI","-32768","-32768","0","-32768","-32768","0","0","260","1800","Lushnje","AL","","10000","","-32768","-32768","","","","t","","t","","1967","Lushnje","16","f","223","f","105","I","M.Bujq","","U","","h","S","1800","260","15","L","ISPVU","NNB","","","","","",
"DAL0004","KUC","-32768","-32768","0","-32768","-32768","0","0","24","142","Corovode","AL","","9296","","-32768","-32768","","","","t","","t","","1988","Skrapar","26","f","167","f","121","I","M.Bujq","","U","","h","S","142","24","2","L","ISPVU","NNB","","","","","",
"DAL0005","KUKAJ","-32768","-32768","0","-32768","-32768","0","0","210","1200","Puke","AL","","10002","","-32768","-32768","","","","t","","t","","1984","Puke","18","f","160","f","160","I","M.Bujq","","U","","h","R","1200","210","15","L","ISPVU","NNB","","","","","",
"DAL0006","KUPLAN","-32768","-32768","0","-32768","-32768","0","0","7","200","Peshkopi","AL","","8636","","-32768","-32768","","","","t","","t","","1989","Diber","26","f","170","f","110","I","M.Bujq","","U","","h","S","200","7","1","L","ISPVU","NNB","","","","","",
"DAL0007","KURJAN","-32768","-32768","0","-32768","-32768","0","0","2900","32700","Roskovec","AL","","10008","","-32768","-32768","","","","t","","t","","1963","Fier","26","f","476","f","356","I","M.Bujq","","U","","h","S","32700","2900","","V","E.Sovj","NNB","","","","","",
"DAL0008","KUTE CORRUSH","-32768","-32768","0","-32768","-32768","0","0","158","1460","Ballsh","AL","","10680","","-32768","-32768","","","","t","","t","","1970","Mallakaster","22","f","251","f","300","I","M.Bujq","","U","","h","S","1460","158","","L","ISPVU","NNB","","","","","",
"DAL0009","KUTRER","-32768","-32768","0","-32768","-32768","0","0","15","400","Tirane","AL","","-32768","","-32768","-32768","","","","t","","t","","1981","Tirane","16","f","90","f","44","I","M.Bujq","","U","","h","S","400","15","","L","ISPVU","NNB","","","","","",
"DAL0010","LAC-1","-32768","-32768","0","-32768","-32768","0","0","40","400","Burrel","AL","","10329","","-32768","-32768","","","","t","","t","","1978","Mat","22","f","287","f","160","I","M.Bujq","","U","","h","S","400","40","2","L","ISPVU","NNB","","","","","",
"DAL0011","LAVDAN","-32768","-32768","0","-32768","-32768","0","0","36","400","Korce","AL","","10087","","-32768","-32768","","","","t","","t","","1967","Korce","17","f","130","f","37","I","M.Bujq","","U","","h","S","400","36","5","L","ISPVU","NNB","","","","","",
"DAL0012","LEMINOT","-32768","-32768","0","-32768","-32768","0","0","120","1200","Korce","AL","","10114","","-32768","-32768","","","","t","","t","","1972","Korce","33","f","180","f","220","I","M.Bujq","","U","","h","S","1200","120","18","L","ISPVU","NNB","","","","","",
"DAL0013","LESHNICE","-32768","-32768","0","-32768","-32768","0","0","20","120","Sarande","AL","","10121","","-32768","-32768","","","","t","","t","","1978","Sarande","18","f","160","f","40","I","M.Bujq","","U","","h","S","120","20","2","L","ISPVU","NNB","","","","","",
"DAL0014","LESHNICE","-32768","-32768","0","-32768","-32768","0","0","138","1390","Kukes","AL","","10121","","-32768","-32768","","","","t","","t","","1989","Kukes","32","f","160","f","212","I","M.Bujq","","U","","h","S","1390","138","53","L","ISPVU","NNB","","","","","",
"DAL0015","LETAJ","-32768","-32768","0","-32768","-32768","0","0","220","1500","Kukes","AL","","10125","","-32768","-32768","","","","t","","t","","1968","Kukes","22","f","250","f","240","I","M.Bujq","","U","","h","S","1500","220","35","L","ISPVU","NNB","","","","","",
"DAL0016","LIKESH","-32768","-32768","0","-32768","-32768","0","0","375","2490","Shijak","AL","","10145","","-32768","-32768","","","","t","","t","","1986","Shijak","22","f","380","f","234","I","M.Bujq","","U","","h","S","2490","375","45","L","ISPVU","NNB","","","","","",
"DAL0017","LIQEDHI","-32768","-32768","0","-32768","-32768","0","0","33","180","Corovode","AL","","10661","","-32768","-32768","","","","t","","t","","1975","Skrapar","25","f","207","f","67","I","M.Bujq","","U","","h","S","180","33","0.3","L","ISPVU","NNB","","","","","",
"DAL0018","LIQENI ARTIFICIAL","-32768","-32768","0","-32768","-32768","0","0","356","1460","Tirane","AL","","11181","","-32768","-32768","","","","t","","t","","1959","Tirane","16.6","f","500","f","110","IFR","Mairie","","H","","h","S","1460","356","","L","ISPVU","NNB","","","","","",
"DAL0019","LIZ 1","-32768","-32768","0","-32768","-32768","0","0","150","1090","Kavaje","AL","","10178","","-32768","-32768","","","","t","","t","","1987","Kavaje","27","f","128","f","112","I","M.Bujq","","U","","h","S","1090","150","45","L","ISPVU","NNB","","","","","",
"DAL0020","LIZ 2","-32768","-32768","0","-32768","-32768","0","0","110","570","Kavaje","AL","","10178","","-32768","-32768","","","","t","","t","","1988","Kavaje","29","f","175","f","110","I","M.Bujq","","U","","h","S","570","110","20","L","ISPVU","NNB","","","","","",
"DAL0021","LLAKAJ","-32768","-32768","0","-32768","-32768","0","0","230","2500","Kukes","AL","","10181","","-32768","-32768","","","","t","","t","","1965","Kukes","21","f","","f","560","I","M.Bujq","","U","","h","S","2500","230","35","L","ISPVU","NNB","","","","","",
"DAL0022","LUMAR 2","-32768","-32768","0","-32768","-32768","0","0","270","2800","Ballsh","AL","","9439","","-32768","-32768","","","","t","","t","","1983","Mallakaster","37","f","320","f","650","I","M.Bujq","","U","","h","S","2800","270","85","L","ISPVU","NNB","","","","","",
"DAL0023","LUMARI-1","-32768","-32768","0","-32768","-32768","0","0","344","4000","Ballsh","AL","","9439","","-32768","-32768","","","","t","","t","","1979","Fier","60","f","236","f","565","I","M.Bujq","","U","","ie","S","4000","344","","L","ISPVU","NNB","","","","","",
"DAL0024","LUMI I ZI","-32768","-32768","0","-32768","-32768","0","0","220","2500","Diber","AL","","10241","","-32768","-32768","","","","t","","t","","1977","Diber","30","f","50","f","15","I","M.Bujq","","U","","h","S","2500","220","1","L","ISPVU","NNB","","","","","",
"DAL0025","MALAJ","-32768","-32768","0","-32768","-32768","0","0","120","2300","Rreshen","AL","","10284","","-32768","-32768","","","","t","","t","","1973","Mirdite","40","f","180","f","336","I","M.Bujq","","U","","h","R/S","2300","120","53","L","ISPVU","NNB","","","","","",
"DAL0026","MALAJ 2","-32768","-32768","0","-32768","-32768","0","0","85","747","Rreshen","AL","","11253","","-32768","-32768","","","","t","","t","","1989","Mirdite","29","f","143","f","100","I","M.Bujq","","U","","h","S/R","747","85","22","L","ISPVU","NNB","","","","","",
"DAL0027","MALTHIKE","-32768","-32768","0","-32768","-32768","0","0","87","370","U.Vajgurore","AL","","10288","","-32768","-32768","","","","t","","t","","1982","Berat","18","f","282","f","152","I","M.Bujq","","U","","h","S","370","87","10","L","ISPVU","NNB","","","","","",
"DAL0028","MAMAJ","-32768","-32768","0","-32768","-32768","0","0","29","50","Delvine","AL","","10289","","-32768","-32768","","","","t","","t","","1968","Delvine","17","f","110","f","42","I","M.Bujq","","U","","h","R","50","29","14","L","ISPVU","NNB","","","","","",
"DAL0029","MANASTIR","-32768","-32768","0","-32768","-32768","0","0","51","348","U.Vajgurore","AL","","10292","","-32768","-32768","","","","t","","t","","1978","Berat","22","f","282","f","221","I","M.Bujq","","U","","h","S","348","51","","L","ISPVU","NNB","","","","","",
"DAL0030","MANASUFAJ","-32768","-32768","0","-32768","-32768","0","0","350","700","Lushnje","AL","","10293","","-32768","-32768","","","","t","","t","","1987","Lushnje","19","f","230","f","105","I","M.Bujq","","U","","h","S","700","350","11","L","ISPVU","NNB","","","","","",
"DAL0031","MANSKURI","-32768","-32768","0","-32768","-32768","0","0","630","5600","Durres","AL","","10303","","-32768","-32768","","","","t","","t","","1969","Durres","36","f","220","f","315","I","M.Bujq","","U","","h","S","5600","630","37","L","ISPVU","NNB","","","","","",
"DAL0032","MARKEZH","-32768","-32768","0","-32768","-32768","0","0","64","355","Erseke","AL","","10317","","-32768","-32768","","","","t","","t","","1981","Kolonje","24","f","337","f","156","I","M.Bujq","","U","","h","S","355","64","4","L","ISPVU","NNB","","","","","",
"DAL0033","MARUSHE","-32768","-32768","0","-32768","-32768","0","0","66","515","Ballsh","AL","","10453","","-32768","-32768","","","","t","","t","","1975","Mallakaster","17.8","f","148","f","116","I","M.Bujq","","U","","h","S","515","66","","L","ISPVU","NNB","","","","","",
"DAL0034","MASKURI VOGEL","-32768","-32768","0","-32768","-32768","0","0","40","215","Shijak","AL","","10303","","-32768","-32768","","","","t","","t","","1970","Durres","16","f","142","f","52","I","M.Bujq","","U","","h","S","215","40","12","L","ISPVU","NNB","","","","","",
"DAL0035","MBJESHOVE","-32768","-32768","0","-32768","-32768","0","0","38","255","Berat","AL","","10346","","-32768","-32768","","","","t","","t","","1979","Berat","27","f","207","f","115","I","M.Bujq","","U","","h","S","255","38","5","L","ISPVU","NNB","","","","","",
"DAL0036","MBOLAN","-32768","-32768","0","-32768","-32768","0","0","42","247","Berat","AL","","10347","","-32768","-32768","","","","t","","t","","1976","Berat","16","f","156","f","110","I","M.Bujq","","U","","h","S","247","42","13.8","L","ISPVU","NNB","","","","","",
"DAL0037","MBRESHTAN","-32768","-32768","0","-32768","-32768","0","0","142","900","Berat","AL","","10348","","-32768","-32768","","","","t","","t","","1970","Berat","28","f","150","f","250","I","M.Bujq","","U","","h","S","900","142","17","L","ISPVU","NNB","","","","","",
"DAL0038","METALL","-32768","-32768","0","-32768","-32768","0","0","380","2100","Shijak","AL","","10378","","-32768","-32768","","","","t","","t","","1965","Durres","17","f","300","f","170","I","M.Bujq","","U","","h","S","2100","380","15","L","ISPVU","NNB","","","","","",
"DAL0039","METALLE D-1","-32768","-32768","0","-32768","-32768","0","0","2300","3220","Shijak","AL","","-32768","","-32768","-32768","","","","t","","t","","1988","Durres","35","f","1113","f","1666","I","M.Bujq","","U","","h","S","3220","2300","","L","ISPVU","NNB","","","","","",
"DAL0040","METALLE D-2","-32768","-32768","0","-32768","-32768","0","0","","","Shijak","AL","","-32768","","-32768","-32768","","","","t","","t","","1988","Durres","20","f","950","f","430","I","M.Bujq","","U","","h","S","","","","L","ISPVU","NNB","","","","","",
"DAL0041","ALLABREZ","-32768","-32768","0","-32768","-32768","0","0","136","1489","Roskovec","AL","","8141","","-32768","-32768","","","","t","","t","","1990","Berat","30","f","273","f","373","I","M.Bujq","","U","","h","R","1489","136","80","L","ISPVU","NNB","","","","","",
"DAL0042","ALLTATE","-32768","-32768","0","-32768","-32768","0","0","60","400","Tirane","AL","","10503","","-32768","-32768","","","","t","","t","","1974","Tirane","19","f","140","f","70","I","M.Bujq","","U","","h","S","400","60","10","L","ISPVU","NNB","","","","","",
"DAL0043","BABICE","-32768","-32768","0","-32768","-32768","0","0","500","2730","Vlore","AL","","8371","","-32768","-32768","","","","t","","t","","1986","Vlore","20","f","393","f","233","I","M.Bujq","","U","","h","S","2730","500","5","L","ISPVU","NNB","","","","","",
"DAL0044","BACUNG","-32768","-32768","0","-32768","-32768","0","0","400","3800","Kruje","AL","","8374","","-32768","-32768","","","","t","","t","","1965","Kruje","28","f","300","f","300","I","M.Bujq","","U","","h","S","3800","400","4","L","ISPVU","NNB","","","","","",
"DAL0045","BAJKAJ","-32768","-32768","0","-32768","-32768","0","0","140","1200","Delvine","AL","","8387","","-32768","-32768","","","","t","","t","","1976","Delvine","33","f","183","f","250","I","M.Bujq","","U","","h","S","1200","140","2","L","ISPVU","NNB","","","","","",
"DAL0046","BALHAXHIP","-32768","-32768","0","-32768","-32768","0","0","30","205","Tirane","AL","","8770","","-32768","-32768","","","","t","","t","","1969","Tirane","29","f","151","f","130","I","M.Bujq","","U","","h","S","205","30","9","L","ISPVU","NNB","","","","","",
"DAL0047","BAZIT-1","-32768","-32768","0","-32768","-32768","0","0","355","400","Burrel","AL","","9867","","-32768","-32768","","","","t","","t","","1977","Mat","18","f","100","f","130","I","M.Bujq","","U","","h","S","400","355","9","L","ISPVU","NNB","","","","","",
"DAL0048","BAZIT-2","-32768","-32768","0","-32768","-32768","0","0","700","400","Burrel","AL","","9867","","-32768","-32768","","","","t","","t","","1977","Mat","22","f","173","f","63","I","M.Bujq","","U","","h","S","400","700","3","L","ISPVU","NNB","","","","","",
"DAL0049","BEJNIT-2","-32768","-32768","0","-32768","-32768","0","0","22","150","Burrel","AL","","10329","","-32768","-32768","","","","t","","t","","1977","Mat","26","f","180","f","60","I","M.Bujq","","U","","h","S","150","22","2","L","ISPVU","NNB","","","","","",
"DAL0050","BELESOVE","-32768","-32768","0","-32768","-32768","20.1324462890625","41.122814627344","252","3500","Berat","AL","","8461","","-32768","-32768","					
				","t","","t","","t","","1977","Berat","42","f","304","f","450","I","M.Bujq","","U","","h","S","3500","252","36","L","ISPVU","NNB","","","","","",
"DAL0051","BELESOVE","-32768","-32768","0","-32768","-32768","0","0","252","3100","Berat","AL","","8462","","-32768","-32768","","","","t","","t","","1978","Berat","41","f","335","f","496","I","M.Bujq","","U","","h","S","3100","252","36","L","ISPVU","NNB","","","","","",
"DAL0052","BERISHA-1","-32768","-32768","0","-32768","-32768","0","0","12","70","B.Curri","AL","","11658","","-32768","-32768","","","","t","","t","","1981","Tropoje","17","f","161","f","52","I","M.Bujq","","U","","h","S","70","12","","L","ISPVU","NNB","","","","","",
"DAL0053","BERSHIMI","-32768","-32768","0","-32768","-32768","0","0","20","190","Burrel","AL","","10329","","-32768","-32768","","","","t","","t","","1981","Mat","20","f","130","f","90","I","M.Bujq","","U","","h","S","190","20","3","L","ISPVU","NNB","","","","","",
"DAL0054","BERXULL","-32768","-32768","0","-32768","-32768","0","0","125","870","Tirane","AL","","9211","","-32768","-32768","","","","t","","t","","1965","Tirane","18","f","305","f","146","I","M.Bujq","","U","","h","S","870","125","0.3","L","ISPVU","NNB","","","","","",
"DAL0055","BERZANAJ","-32768","-32768","0","-32768","-32768","0","0","110","1300","Kelcyre","AL","","11874","","-32768","-32768","","","","t","","t","","1990","Permet","37","f","190","f","300","I","M.Bujq","","U","","h","S","1300","110","25","L","ISPVU","NNB","","","","","",
"DAL0056","BESH","-32768","-32768","0","-32768","-32768","0","0","30","140","Tirane","AL","","10680","","-32768","-32768","","","","t","","t","","1968","Tirane","16","f","96","f","45","I","M.Bujq","","U","","h","S","140","30","5","L","ISPVU","NNB","","","","","",
"DAL0057","BEZHANI","-32768","-32768","0","-32768","-32768","0","0","700","5500","Sarande","AL","","10475","","-32768","-32768","","","","t","","t","","1966","Sarande","15","f","580","f","300","I","M.Bujq","","U","","h","S","5500","700","","L","ISPVU","NNB","","","","","",
"DAL0058","BEZNI-1","-32768","-32768","0","-32768","-32768","0","0","5","120","Burrel","AL","","10329","","-32768","-32768","","","","t","","t","","1968","Mat","16","f","120","f","30","I","M.Bujq","","U","","h","S","120","5","2","L","ISPVU","NNB","","","","","",
"DAL0059","BICKE","-32768","-32768","0","-32768","-32768","0","0","90","400","Korce","AL","","9440","","-32768","-32768","","","","t","","t","","1980","Korce","15.8","f","130","f","27","I","M.Bujq","","U","","h","S","400","90","3","L","ISPVU","NNB","","","","","",
"DAL0060","BILALAS","-32768","-32768","0","-32768","-32768","0","0","80","300","Shijak","AL","","8503","","-32768","-32768","","","","t","","t","","1966","Durres","17","f","186","f","70","I","M.Bujq","","U","","h","S","300","80","10","L","ISPVU","NNB","","","","","",
"DAL0061","BILCE","-32768","-32768","0","-32768","-32768","0","0","160","1900","Berat","AL","","8504","","-32768","-32768","","","","t","","t","","1983","Berat","41","f","300","f","620","I","M.Bujq","","U","","h","S","1900","160","37.5","L","ISPVU","NNB","","","","","",
"DAL0062","BISTRICA","-32768","-32768","0","-32768","-32768","0","0","","580","Delvine","AL","","8514","","-32768","-32768","","","","t","","t","","1963","Delvine","23","f","179","f","140","H","M.Bujq","","U","","h","S","580","","","L","ISPH","NNH","","","","","",
"DAL0063","BLLACE","-32768","-32768","0","-32768","-32768","0","0","450","3000","Peshkopi","AL","","8537","","-32768","-32768","","","","t","","t","","1974","Diber","28","f","120","f","118","I","M.Bujq","","U","","h","S","3000","450","","","ISPVU","NNB","","","","","",
"DAL0064","BORCE","-32768","-32768","0","-32768","-32768","0","0","860","8000","Shijak","AL","","8558","","-32768","-32768","","","","t","","t","","1970","Durres","16","f","1000","f","550","I","M.Bujq","","U","","h","S","8000","860","6","L","ISPVU","NNB","","","","","",
"DAL0065","BOROVE","-32768","-32768","0","-32768","-32768","0","0","35","180","Erseke","AL","","10827","","-32768","-32768","","","","t","","t","","1967","Kolonje","25","f","132","f","40","I","M.Bujq","","U","","h","S","180","35","0.3","L","ISPVU","NNB","","","","","",
"DAL0066","BOSHANJE","-32768","-32768","0","-32768","-32768","0","0","90","360","Ersek","AL","","11362","","-32768","-32768","","","","t","","t","","1979","Kolonje","17","f","240","f","57","I","M.Bujq","","U","","h","S","360","90","2","L","ISPVU","NNB","","","","","",
"DAL0067","BOVE","-32768","-32768","0","-32768","-32768","0","0","67","350","Berat","AL","","8585","","-32768","-32768","","","","t","","t","","1988","Berat","34","f","230","f","233","I","M.Bujq","","U","","h","R","350","67","45","L","ISPVU","NNB","","","","","",
"DAL0068","BOZANXHIE","-32768","-32768","0","-32768","-32768","0","0","60","270","Tirane","AL","","9211","","-32768","-32768","","","","t","","t","","1974","Tirane","21","f","100","f","80","I","M.Bujq","","U","","h","S","270","60","","L","ISPVU","NNB","","","","","",
"DAL0069","BUBQ","-32768","-32768","0","-32768","-32768","0","0","145","930","F.Kruje","AL","","8629","","-32768","-32768","","","","t","","t","","1983","Kruje","20","f","145","f","126","I","M.Bujq","","U","","h","S","930","145","4","L","ISPVU","NNB","","","","","",
"DAL0070","BUBSI-2","-32768","-32768","0","-32768","-32768","0","0","18","100","Kelcyre","AL","","11874","","-32768","-32768","","","","t","","t","","1979","Permet","19","f","91","f","51","I","M.Bujq","","U","","h","S/R","100","18","1","L","ISPVU","NNB","","","","","",
"DAL0071","BUNAVI","-32768","-32768","0","-32768","-32768","0","0","100","500","Vlore","AL","","8648","","-32768","-32768","","","","t","","t","","1978","Vlore","20","f","190","f","100","I","M.Bujq","","U","","h","S","500","100","5","L","ISPVU","NNB","","","","","",
"DAL0072","BUSI-1","-32768","-32768","0","-32768","-32768","0","0","17","120","Kelcyre","AL","","11874","","-32768","-32768","","","","t","","t","","1979","Permet","20","f","102","f","63","I","M.Bujq","","U","","h","S/R","120","17","1","L","ISPVU","NNB","","","","","",
"DAL0073","BUVILLA","-32768","-32768","0","-32768","-32768","0","0","3200","20000","Tirane","AL","","11544","","-32768","-32768","","","","t","","t","","1996","Tirane","90","f","130","f","650","ISC","M.Ndert","","U","","fp","R","20000","3200","150","V","ISPH","Albinfrastruktura","","","","","",
"DAL0074","BUZI-2","-32768","-32768","0","-32768","-32768","0","0","41","300","Tirane","AL","","10837","","-32768","-32768","","","","t","","t","","1981","Tirane","37","f","147","f","110","I","M.Bujq","","U","","h","R","300","41","1.5","L","ISPVU","NNB","","","","","",
"DAL0075","CACOBES","-32768","-32768","0","-32768","-32768","0","0","9.7","34","Peqin","AL","","11278","","-32768","-32768","","","","t","","t","","1977","Peqin","17","f","96","f","32","I","M.Bujq","","U","","h","S","34","9.7","0.5","L","ISPVU","NNB","","","","","",
"DAL0076","CALLEK","-32768","-32768","0","-32768","-32768","0","0","770","6300","Shijak","AL","","8705","","-32768","-32768","","","","t","","t","","1963","Durres","33","f","426","f","465","I","M.Bujq","","U","","h","S","6300","770","35","L","ISPVU","NNB","","","","","",
"DAL0077","CATISTE-1","-32768","-32768","0","-32768","-32768","0","0","55","380","Gjirokaster","AL","","11445","","-32768","-32768","","","","t","","t","","1975","Gjirokaster","23","f","302","f","115","I","M.Bujq","","U","","h","R","380","55","","L","ISPVU","NNB","","","","","",
"DAL0078","CEKREZE","-32768","-32768","0","-32768","-32768","0","0","","4800","Tirane","AL","","8791","","-32768","-32768","","","","t","","t","","1968","Tirane","24","f","200","f","200","I","M.Bujq","","U","","h","S","4800","","15","L","ISPVU","NNB","","","","","",
"DAL0079","CEMERICE","-32768","-32768","0","-32768","-32768","0","0","160","1540","Korce","AL","","8796","","-32768","-32768","","","","t","","t","","1971","Korce","26","f","184","f","140","I","M.Bujq","","U","","h","S","1540","160","65","L","ISPVU","NNB","","","","","",
"DAL0080","CERILA","-32768","-32768","0","-32768","-32768","0","0","41.9","150","Tepelene","AL","","8809","","-32768","-32768","","","","t","","t","","1972","Tepelene","17","f","214","f","360","I","M.Bujq","","U","","h","S/R","150","41.9","4","L","ISPVU","NNB","","","","","",
"DAL0081","CETA","-32768","-32768","0","-32768","-32768","0","0","114","1200","Kavaje","AL","","8815","","-32768","-32768","","","","t","","t","","1966","Kavaje","17","f","287","f","135","I","M.Bujq","","U","","h","S","1200","114","32","L","ISPVU","NNB","","","","","",
"DAL0082","CIZMELI","-32768","-32768","0","-32768","-32768","0","0","59","315","Shijak","AL","","8879","","-32768","-32768","","","","t","","t","","1982","Durres","22","f","130","f","80","I","M.Bujq","","U","","h","S","315","59","12","L","ISPVU","NNB","","","","","",
"DAL0083","CORRUSH","-32768","-32768","0","-32768","-32768","0","0","27","196","Ballsh","AL","","11874","","-32768","-32768","","","","t","","t","","1974","Mallak","24.3","f","185","f","200","I","M.Bujq","","U","","h","S","196","27","3.75","L","ISPVU","NNB","","","","","",
"DAL0084","CYCEN","-32768","-32768","0","-32768","-32768","0","0","","1000","Ballsh","AL","","8976","","-32768","-32768","","","","t","","t","","1968","Mallakaster","27","f","175","f","300","I","M.Bujq","","U","","h","S","1000","","","L","ISPVU","NNB","","","","","",
"DAL0085","DARDHE","-32768","-32768","0","-32768","-32768","0","0","105","900","Gramsh","AL","","11593","","-32768","-32768","","","","t","","t","","1973","Gramsh","35","f","200","f","250","I","M.Bujq","","U","","h","R/S","900","105","0.2","L","ISPVU","NNB","","","","","",
"DAL0086","DARDHE","-32768","-32768","0","-32768","-32768","0","0","130","1200","Gramsh","AL","","10727","","-32768","-32768","","","","t","","t","","1987","Gramsh","39","f","165","f","210","I","M.Bujq","","U","","h","R","1200","130","","L","ISPVU","NNB","","","","","",
"DAL0087","DEGE","-32768","-32768","0","-32768","-32768","0","0","105","506","Fierze","AL","","9123","","-32768","-32768","","","","t","","t","","1979","Tropoje","18","f","435","f","226","I","M.Bujq","","U","","h","S","506","105","4","L","ISPVU","NNB","","","","","",
"DAL0088","DHOKSAT","-32768","-32768","0","-32768","-32768","0","0","145","1550","Gjirokaster","AL","","9045","","-32768","-32768","","","","t","","t","","1988","Gjirokaster","26","f","380","f","300","I","M.Bujq","","U","","h","S","1550","145","25","L","ISPVU","NNB","","","","","",
"DAL0089","DIVJAKE","-32768","-32768","0","-32768","-32768","0","0","350","4500","Lushnje","AL","","9062","","-32768","-32768","","","","t","","t","","1975","Lushnje","23","f","320","f","355","I","M.Bujq","","U","","h","S","4500","350","","L","ISPVU","NNB","","","","","",
"DAL0090","DOBRUNE","-32768","-32768","0","-32768","-32768","0","0","94","850","Krume","AL","","9071","","-32768","-32768","","","","t","","t","","1990","Has","36","f","283","f","283","I","M.Bujq","","U","","h","S","850","94","32","L","ISPVU","NNB","","","","","",
"DAL0091","DOFTI","-32768","-32768","0","-32768","-32768","0","0","","13000","Gjirokaster","AL","","11445","","-32768","-32768","","","","t","","t","","1972","Gjirokaster","18","f","2038","f","480","I","M.Bujq","","U","","h","S","13000","","","L","ISPVU","NNB","","","","","",
"DAL0092","DOLLAKAJ","-32768","-32768","0","-32768","-32768","0","0","200","1750","F.Kruje","AL","","9753","","-32768","-32768","","","","t","","t","","1990","Kruje","27","f","270","f","250","I","M.Bujq","","U","","h","S/R","1750","200","4","L","ISPVU","NNB","","","","","",
"DAL0093","DOMEN","-32768","-32768","0","-32768","-32768","0","0","130","800","Shijak","AL","","9083","","-32768","-32768","","","","t","","t","","1988","Durres","30","f","200","f","132","I","M.Bujq","","U","","h","S","800","130","37","L","ISPVU","NNB","","","","","",
"DAL0094","DUHANAS","-32768","-32768","0","-32768","-32768","0","0","162","1900","Berat","AL","","9135","","-32768","-32768","","","","t","","t","","1982","Berat","39","f","235","f","400","I","M.Bujq","","U","","h","R/S","1900","162","60","L","ISPVU","NNB","","","","","",
"DAL0095","DUKAJ","-32768","-32768","0","-32768","-32768","0","0","82","820","Memaliaj","AL","","9136","","-32768","-32768","","","","t","","t","","1970","Tepelene","28","f","325","f","251","I","M.Bujq","","U","","h","R","820","82","23","L","ISPVU","NNB","","","","","",
"DAL0096","DUSHK","-32768","-32768","0","-32768","-32768","0","0","100","450","Lushnje","AL","","9149","","-32768","-32768","","","","t","","t","","1969","Lushnje","18","f","215","f","66","I","M.Bujq","","U","","h","S","450","100","20","L","ISPVU","NNB","","","","","",
"DAL0097","ERSEKE","-32768","-32768","0","-32768","-32768","0","0","90","620","Erseke","AL","","11541","","-32768","-32768","","","","t","","t","","1982","Kolonje","24","f","319","f","145","I","M.Bujq","","U","","h","S/R","620","90","0.5","L","ISPVU","NNB","","","","","",
"DAL0098","FACESH","-32768","-32768","0","-32768","-32768","0","0","28","280","Tirane","AL","","9211","","-32768","-32768","","","","t","","t","","1974","Tirane","22","f","115","f","66","I","M.Bujq","","U","","h","R","280","28","23","L","ISPVU","NNB","","","","","",
"DAL0099","FIER MIMAR","-32768","-32768","0","-32768","-32768","0","0","150","1000","Kucove","AL","","9041","","-32768","-32768","","","","t","","t","","1978","Kucove","15","f","312","f","174","I","M.Bujq","","U","","h","S","1000","150","4.6","L","ISPVU","NNB","","","","","",
"DAL0100","FIERZE","-32768","-32768","0","-32768","-32768","0","0","73000","2700000","B.Curri","AL","","9122","","-32768","-32768","","","","t","","t","","1978","Tropoje","167","f","400","f","8000","H","K.E.SH","","U","","ie","R","2700000","73000","6700","V","ISPH","NNH","","","","","",
"DAL0101","FJOLLE","-32768","-32768","0","-32768","-32768","0","0","115","1500","Tirane","AL","","10748","","-32768","-32768","","","","t","","t","","1980","Tirane","27","f","200","f","328","I","M.Bujq","","U","","h","S","1500","115","56","L","ISPVU","NNB","","","","","",
"DAL0102","FRANKOVISHTE","-32768","-32768","0","-32768","-32768","0","0","50","1900","Pogradec","AL","","9335","","-32768","-32768","","","","t","","t","","1980","Pogradec","35","f","230","f","370","I","M.Bujq","","U","","h","R/S","1900","50","7","L","ISPVU","NNB","","","","","",
"DAL0103","FRASHER","-32768","-32768","0","-32768","-32768","0","0","18","65","Permet","AL","","11874","","-32768","-32768","","","","t","","t","","1984","Permet","18","f","245","f","43","I","M.Bujq","","U","","h","S","65","18","2","L","ISPVU","NNB","","","","","",
"DAL0104","FUNAR 2","-32768","-32768","0","-32768","-32768","0","0","101","1150","Elbasan","AL","","9354","","-32768","-32768","","","","t","","t","","1990","Elbasan","33","f","217","f","298","I","M.Bujq","","U","","i","S","1150","101","5","L","ISPVU","NNB","","","","","",
