noeea,name,x_icold,y_icold,score,x_prop,y_prop,x_val,y_val,area,cap_total,ic_city,country,lake_name,river_id,river_name,year_opp,year_dead,comments,valid,ic_continent,is_main,noeea_m,is_icold,alias,ic_year,ic_state,ic_high,ic_high_guessed,ic_length,ic_length_guessed,ic_vol,ic_purpose,ic_owner,ic_note,ic_particular,ic_international,ic_sealing,ic_foundation,ic_capacity,ic_area,ic_spill,ic_type_spill,ic_engineer,ic_contractor,ic_p_mw,ic_e_whpyear,ic_irrigation,ic_floodstock,ic_settlement,
"DSP0443","BARCA, LA","-6.3","43.32","0","-32768","-32768","0","0","1940","31100","TINEO Y BELMONTE","SP","","10500","","-32768","-32768","","","","t","","t","","1966","ASTURIAS","74","f","178","f","113","H","HIDROELECTRICA DEL CANTABRICO, S.A","","","","","R","31100","1940","1760","V","A. ALVAREZ Y E. VALLARINO","DRAGADOS","","","","","",
"DSP0444","FERVENZA","-9.03","43.13","0","-32768","-32768","0","0","12500","104000","ZAS, MAZARICOS","SP","","9768","","-32768","-32768","","","","t","","t","","1966","CORUÑA, A","32","f","118","f","35","H","UNION FENOSA","","","","","R","104000","12500","637","V","A-CAÑAS","FERROVIAL","","","","","",
"DSP0446","MEQUINENZA","0.27","41.36","0","-32768","-32768","0","0","77200","1533780","MEQUINENZA","SP","","9156","","-32768","-32768","","","","t","","t","","1964","ZARAGOZA","81","f","451","f","1100","H","ENHER","","","","","R/S","1533780","77200","12800","V","M. SANCHEZ DEL CORRAL","ENHER","","","","","",
"DSP0447","MONTEARENAS","-6.54","42.55","0","-32768","-32768","0","0","185","1900","PONFERRADA","SP","","8541","","-32768","-32768","","","","t","","t","","1966","LEON","37","f","79","f","24","H","ENDESA","","","","","R","1900","185","1000","V","J. FERNANDEZ, F. PUERTAS, J. ADALID","AUXINI","","","","","",
"DSP0448","MONTORO","-4.13","38.54","0","-32768","-32768","0","0","518","2700","SOLANA DEL PINO","SP","","10424","","-32768","-32768","","","","t","","t","","1966","CIUDAD REAL","24","f","213","f","0","S","REPSOL PETROLEO S.A.","MONTORO II","","","","R","2700","518","500","L","A. ARAGONES FOEZ","TECNICAS-OBRAS","","","","","",
"DSP0449","PUENTE OLVEIRA","-9.05","42.96","0","-32768","-32768","0","0","64","700","MAZARICOS","SP","","9768","","-32768","-32768","","","","t","","t","","1966","CORUÑA, A","26","f","107","f","4","H","CARBUROS METALICOS","","","","","R","700","64","395","L","P.PUIG-PEY","FERROVIAL","","","","","",
"DSP0450","SANTA EULALIA","-7.06","42.35","0","-32768","-32768","0","0","414","11000","VEIGA, LA, BOLLO","SP","","9773","","-32768","-32768","","","","t","","t","","1966","OURENSE","73","f","212","f","72","H","IBERDROLA","","","","","R","11000","414","900","L/V","S.CASTRO, A DEL CAMPO","DRAGADOS","","","","","",
"DSP0451","TABESCAN","1.25","42.63","0","-32768","-32768","0","0","79","640","LLADORRE","SP","","10550","","-32768","-32768","","","","t","","t","","1966","LLEIDA","31","f","57","f","13","H","FECSA","TAVASCAN","","","","R","640","79","216","V","J-SERRANO","COPISA","","","","","",
"DSP0452","TABLILLAS","-4.13","38.55","0","-32768","-32768","0","0","561","4300","HINOJOSAS DE CALATAVRA","SP","","11481","","-32768","-32768","","","","t","","t","","1966","CIUDAD REAL","30","f","151","f","0","H","REPSOL PETROLEO S.A.","","","","","R","4300","561","575","L","A. ARAGONES FDEZ.","TECNICAS-Y-OBRAS","","","","","",
"DSP0453","TORREJON TAJO","-5.98","39.83","0","-32768","-32768","0","0","10410","166000","TORIL, TORREJON EL RUBIO","SP","","11489","","-32768","-32768","","","","t","","t","","1966","CACERES","62","f","300","f","248","H","IBERDROLA","","","","","R","166000","10410","6000","V","M-CASTILLO Y D. MARTINEZ","AGROMAN","","","","","",
"DSP0454","VELILLA DE GUARDO","-4.85","42.81","0","-32768","-32768","0","0","330","1800","VELILLA DEL RIO CARRION","SP","","8753","","-32768","-32768","","","","t","","t","","1965","PALENCIA","18","f","142","f","10","H","IBERDROLA","VELILLA","","","","R","1800","330","819","V","P. MARTINEZ ARTOLA","ENTRECANALES-TAVORA","","","","","",
"DSP0455","VELLE","-7.85","42.36","0","-32768","-32768","0","0","2630","16980","OURENSE","SP","","10394","","-32768","-32768","","","","t","","t","","1966","OURENSE","27","f","195","f","55","H","UNION FENOSA","","","","","R","16980","2630","8214","V","A-CARREÑO Y L. YORDI","DRAGADOS","","","","","",
"DSP0456","AGUASCEBAS","-2.94","38.04","0","-32768","-32768","0","0","434","6370","VILLACARRILLO, MOGON","SP","","8075","","-32768","-32768","","","","t","","t","","1967","JAEN","58","f","566","f","99","H","ESTADO","Heightened : 1991","H","","","R","6370","434","70","L","J. CHASTANG - J. MORIENTES","ENTRECANALES Y TAVORA","","","","","",
"DSP0457","ARBON","-6.72","43.47","0","-32768","-32768","0","0","2700","38200","COAÑA, VILLAYON","SP","","10511","","-32768","-32768","","","","t","","t","","1967","ASTURIAS","35","f","180","f","323","H","ELECTRA DE VIESGO II, S.A.U.","","","","ie","R/S","38200","2700","3000","V","J. ELORZA","AGROMAN","","","","","",
"DSP0458","ARROYOS, LOS","-4.04","40.59","0","-32768","-32768","0","0","130","600","ESCORIAL, EL","SP","","10051","","-32768","-32768","","","","t","","t","","1967","MADRID","17","f","300","f","13","S","A. Y E. ARROYO DIAZ-MERRY","","","","","R","600","130","100","L","A. DE JOYA","COLOMINA Y SERRANO","","","","","",
"DSP0459","BOLERA, LA","-2.9","37.76","0","-32768","-32768","0","0","2646","55870","POZO ALCON","SP","","9549","","-32768","-32768","","","","t","","t","","1967","JAEN","48","f","108","f","37","R","ESTADO","","","","","R","55870","2646","500","V","A. MORENO TORRES","CUBIERTAS MZOV","","","","","",
"DSP0461","CASTREJON / CARPIO, EL","-4.37","39.84","0","-32768","-32768","0","0","40","1500","CARPIO DE TAJO","SP","","8749","","-32768","-32768","","","","t","","t","","1967","TOLEDO","30","f","134","f","25","H","UNION FENOSA","","","","he","S","1500","40","0"," -","EPTISA","OCISA","","","","","",
"DSP0462","CASTREJON","-4.44","39.85","0","-32768","-32768","0","0","7500","43660","PUEBLA DE MONTALBAN, LA","SP","","11489","","-32768","-32768","","","","t","","t","","1967","TOLEDO","26","f","1336","f","743","IH","UNION FENOSA","","","","fc","S","43660","7500","5100","V","EPTISA","OCISA","","","","","",
"DSP0463","GUADANUÑO","-4.79","38.02","0","-32768","-32768","0","0","411","1640","CORDOBA Y VILLAVICIOSA","SP","","9566","","-32768","-32768","","","","t","","t","","1967","CORDOBA","26","f","151","f","19","H","ESTADO","CERRO MURIANO","","","","R","1640","411","131","V","J. VIGUERAS GONZALEZ","CNES. MILITARES","","","","","",
"DSP0464","FORCADAS","-8.08","43.61","0","-32768","-32768","0","0","1510","7660","VALDOVIÑO","SP","","9310","","-32768","-32768","","","","t","","t","","1967","CORUÑA, A","21","f","182","f","14","S","AYUNTAMIENTO EL FERROL","","","","","R","7660","1510","404","L","C-BERROS","CNES. R. LAMA","","","","","",
"DSP0465","GRADO II, EL","0.22","42.11","0","-32768","-32768","0","0","18","60","GRADO, EL","SP","","8413","","-32768","-32768","","","","t","","t","","1967","HUESCA","27","f","99","f","13","IH","ENDESA GENERACION S.A.","ARGENTINA, LA","","","","R/S","60","18","30","V","FDEZ. MORENO, J. BAZTAN","AUXINI","","","","","",
"DSP0466","GUADALEST","-0.19","38.68","0","-32768","-32768","0","0","675","13000","GUADALEST","SP","","9547","","-32768","-32768","","","","t","","t","","1964","ALICANTE","77","f","285","f","237","IS","ESTADO","","","","","R/S","13000","675","520","V","J-AURA CANDELA","MARCOR","","","","","",
"DSP0467","LORIGUILLA","-0.91","39.66","0","-32768","-32768","0","0","3642","73210","LORIGUILLA","SP","","11681","","-32768","-32768","","","","t","","t","","1967","VALENCIA","79","f","198","f","188","I","ESTADO","","","","","R","73210","3642","2000","V","J. SANCHO TELLO","PORTOLES Y CIA.","","","","","",
"DSP0468","MATALAVILLA","-6.45","42.83","0","-32768","-32768","0","0","1880","65040","PARAMO DEL SIL","SP","","11783","","-32768","-32768","","","","t","","t","","1967","LEON","115","f","215","f","170","H","ENDESA","","","","","R","65040","1880","370","V","S DEL CORRAL","INGAR S.A.","","","","","",
"DSP0469","MAYOR DE COLOMERS (LAGO)","0.92","42.62","0","-32768","-32768","0","0","178","2140","ALTO ARAN","SP","","10342","","-32768","-32768","","","","t","","t","","1967","LLEIDA","25","f","165","f","17","IH","FECSA","","","","","R","2140","178","48","L","J. SERRANO","COPISA","","","","","",
"DSP0470","PINILLA, LA","-3.77","40.94","0","-32768","-32768","0","0","4800","37550","PINILLA DEL VALLE","SP","","10226","","-32768","-32768","","","","t","","t","","1967","MADRID","33","f","295","f","91","S","CANAL DE ISABEL II","","","","","R","37550","4800","318","V","B. DIAZ Y DIAZ-TORAN Y CIA","L. ELIZARAN","","","","","",
"DSP0471","PORTODEMOUROS","-8.18","42.85","0","-32768","-32768","0","0","12050","297000","ARZUA, LALIN Y GOLADA","SP","","11705","","-32768","-32768","","","","t","","t","","1967","CORUÑA, A","91","f","469","f","2337","H","UNION FENOSA","","","","ie","R","297000","12050","1550","V","GUITART, DE MIGUEL Y PLATERO","GOYSA WALSH","","","","","",
"DSP0472","TORREJON TIETAR","-5.73","39.78","0","-32768","-32768","0","0","2190","18090","SERRADILLA, TORIL","SP","","11568","","-32768","-32768","","","","t","","t","","1967","CACERES","34","f","230","f","75","H","IBERDROLA","","","","","R","18090","2190","2640","V","M-CASTILLO Y D. MNEZ. BOUDES","HIDROLA Y AGROMAN","","","","","",
"DSP0473","ULLDECONA","0.23","40.67","0","-32768","-32768","0","0","8170","10960","POBLA DE BENIFASSA, LA","SP","","8797","","-32768","-32768","","","","t","","t","","1967","CASTELLON DE LA PLANA","61","f","167","f","129","I","ESTADO","heightened : 1984","H","","","R","10960","8170","400","V","L. BERMEJO, E. MILLARES, J. SANCHO","MAXACH","","","","","",
"DSP0474","VALDEMURIO","-6.01","43.2","0","-32768","-32768","0","0","225","1430","QUIROS","SP","","10860","","-32768","-32768","","","","t","","t","","1967","ASTURIAS","40","f","119","f","47","H","HIDROELECTRICA DEL CANTABRICO, S.A.","VALDEMURRIO","","","","R","1430","225","470","V","P. COLMENERO Y J. DIAZ CANEJA","ARGE-PROAZA","","","","","",
"DSP0475","PEDREZUELA","-3.62","40.75","0","-32768","-32768","0","0","3931","41230","PEDREZUELA","SP","","9553","","-32768","-32768","","","","t","","t","","1967","MADRID","53","f","218","f","95","S","CANAL DE ISABEL II","VELLON, EL","","","","R","41230","3931","358","V","B-DIAZ","CUBIERTAS MZOV","","","","","",
"DSP0476","BOADELLA","2.83","42.34","0","-32768","-32768","0","0","3640","62000","DARNIUS","SP","","10465","","-32768","-32768","","","","t","","t","","1968","GIRONA","63","f","225","f","160","ISH","AUTONOMIA GENERALITAT CATALUÑA","","","","","R","62000","3640","720","V","E. PINEDO","ULLOA","","","","","",
"DSP0477","CANFRANC","-0.52","42.74","0","-32768","-32768","0","0","60","500","CANFRANC","SP","","8215","","-32768","-32768","","","","t","","t","","1968","HUESCA","29","f","114","f","32","S","ELÉCTRICAS REUNIDAS DE ZARAGOZA","","","","","R","500","60","275","L/V","C-SANCHEZ REBULLIDA","PORTOLES","","","","","",
